file_name,selection,call_type,duration,min_freq,max_freq,bw,center_freq,peak_freq,min_prr,max_prr,start_freq,end_freq,trend,inflec,seg,steps,units
218.enc.11.csv,396,uws,0.2,784.3,1195.6,411.3,914.1,914.1,0,0,1195.6,1195.6,1,1,1,0,1
218.enc.11.csv,407,pulse.flat,1,610.5,5852.6,5242.1,820.3,820.3,804.9,809.8,736,610.5,1.2,0,1,0,1
218.enc.93.csv,3,nws,0.3,427.8,1176.5,748.7,914.1,937.5,0,0,497,427.8,1.2,1,1,0,1
218.enc.93.csv,7,rws,0.2,1576,2096.3,520.3,1968.8,1968.8,0,0,1576,1936,0.8,0,1,0,1
218.enc.93.csv,8,rws,0.5,1552.1,2117.6,565.5,1992.2,1992.2,0,0,1552.1,1979,0.8,0,1,0,1
218.enc.93.csv,10,uws,0.4,733,1097.8,364.8,820.3,820.3,0,0,1097.8,1097.8,1,1,1,0,1
218.enc.93.csv,15,uws,0.3,776,1135.6,359.6,914.1,937.5,0,0,1135.6,1135.6,1,1,1,0,1
218.enc.93.csv,18,flatws.seg,1.1,791.4,962.6,171.1,867.2,867.2,0,0,844,815,1,0,3,0,1
218.enc.93.csv,22,aws,0.4,1633.5,2246,612.5,1921.9,1828.1,0,0,1633.5,2246,0.7,0,1,0,1
218.enc.93.csv,23,rws,0.2,1390.4,2032.1,641.7,1921.9,1921.9,0,0,1390.4,2032.1,0.7,0,1,0,1
218.enc.93.csv,24,flatws,0.8,1861,2010.7,149.7,1945.3,1945.3,0,0,1936,1936,1,0,1,0,1
218.enc.93.csv,25,flatws,0.7,1796.8,1946.5,149.7,1875,1851.6,0,0,1946.5,1892,1,0,1,0,1
218.enc.93.csv,29,aws,0.6,6455.3,8544.5,2089.2,7312.5,7312.5,0,0,6455.3,8544.5,0.8,0,1,0,1
218.enc.93.csv,41,pulse.d.bc,0.9,652.9,6178,5525.1,1734.4,1828.1,895,2022.3,2079,652.9,3.2,0,1,1,1
218.enc.93.csv,44,modws,0.9,1947.6,3379.4,1431.8,2718.8,2812.5,0,0,2779,3379.4,0.8,16,1,0,1
218.enc.93.csv,45,dws,0.6,1197.9,1861,663.1,1687.5,1687.5,0,0,1861,1197.9,1.6,0,1,0,1
218.enc.93.csv,46,pulse.flat,0.8,556.2,4397.9,3841.8,1664.1,703.1,736.6,853.7,803,556,1.4,0,1,0,1
218.enc.93.csv,48,aws,0.5,3764.7,6282.7,2518,5109.4,5929.7,0,0,3764.7,6282.7,0.6,0,1,0,1
218.enc.93.csv,49,pulse.a,0.6,789.2,10219.9,9430.7,1781.3,1757.8,456.7,591.8,789.2,1523,0.5,0,1,0,1
218.enc.93.csv,52,modws.t,0.7,1842.9,3183.2,1340.3,2835.9,2812.5,0,0,3183.2,1842.9,1.7,12,1,0,1
218.enc.93.csv,54,modws,0.6,607.3,1277.5,670.2,960.9,984.4,0,0,800,1277.5,0.6,9,1,0,1
218.enc.93.csv,55,pulse.flat.seg.1,0.9,774.9,3644,2869.1,1734.4,1757.8,853.1,1742.4,1950,1717,1.1,0,2,0,1
218.enc.93.csv,57,modws.seg,1.1,607.3,1696.3,1089,843.8,750,0,0,1150,1252,0.9,16,15,0,1
218.enc.93.csv,58,dws,0.3,1578.4,3557.2,1978.8,1968.8,1757.8,0,0,3557.2,1578.4,2.3,0,1,0,1
218.enc.93.csv,61,dws,0.2,809.4,2084.3,1274.9,1007.8,984.4,0,0,2084.3,809.4,2.6,0,1,0,1
218.enc.93.csv,64,uws.seq,0.6,748.7,1411.7,663,820.3,796.9,0,0,1310,1324,1,5,1,0,5
218.enc.93.csv,84,pulse.flat.seg.3,0.8,684.5,3336.9,2652.4,843.8,820.3,782.7,1757.5,1499,1412,1.1,0,2,0,1
218.enc.93.csv,87,nws.seg,0.4,5493.4,6574.1,1080.7,6421.9,6421.9,0,0,5493.4,5493.4,1,1,3,0,1
218.enc.93.csv,88,pulse.flat.seg.1,0.6,1497.5,7349.2,5851.7,1781.3,1781.3,889.1,1797.6,1819,1630,1.1,0,2,0,1
