file_name,Begin_Time,End_Time,Low_Freq,High_Freq,Center_Freq,Peak_Freq,Call_type,duration,bw
229.enc.21.csv,984.7877523,985.2728661,1534.636,1705.151,1617.188,1617.188,flatws,0.4851138,170.515
229.enc.21.csv,1031.871878,1032.566804,618.117,831.261,726.562,726.562,flatws,0.694926,213.144
229.enc.21.csv,1099.870795,1100.897035,1470.693,1705.151,1617.188,1617.188,flatws,1.02624,234.458
229.enc.21.csv,1135.342167,1135.625828,2003.552,2566.604,2320.312,2343.75,dws,0.283661,563.052
229.enc.21.csv,1135.765026,1136.261605,1705.151,2296.435,2109.375,2132.812,dws,0.496579,591.284
229.enc.21.csv,1184.703411,1185.205994,809.947,1023.091,914.062,890.625,flatws,0.502583,213.144
229.enc.21.csv,1251.536379,1251.729322,1577.265,2116.323,1898.438,1921.875,aws,0.192943,539.058
229.enc.21.csv,1251.823037,1252.401866,1534.636,1747.78,1640.625,1664.062,flatws,0.578829,213.144
229.enc.21.csv,1262.509203,1262.751159,1238.274,2003.552,1757.812,1640.625,aws,0.241956,765.278
229.enc.21.csv,1262.586565,1262.938799,831.261,1012.346,937.5,914.062,flatws,0.352234,181.085
229.enc.21.csv,1262.874606,1263.435035,1513.321,1747.78,1664.062,1640.625,flatws,0.560429,234.459
229.enc.21.csv,1322.337975,1323.343557,1257.549,2003.752,1687.5,1640.625,modws,1.005582,746.203
229.enc.21.csv,1572.666162,1572.919785,1023.091,1621.013,1312.5,1265.625,dws,0.253623,597.922
229.enc.21.csv,1610.353001,1611.054557,852.575,2174.067,1523.438,1359.375,dws,0.701556,1321.492
229.enc.21.csv,1668.777922,1669.58277,724.689,959.147,867.188,867.188,flatws,0.804848,234.458
229.enc.61.csv,257.8463216,258.4532233,1052.632,1200,1125,1125,flatws,0.6069017,147.368
229.enc.61.csv,259.1937548,259.6057798,968.421,1115.789,1054.688,1054.688,flatws,0.412025,147.368
229.enc.61.csv,347.3897534,347.5790622,1494.737,1831.579,1687.5,1687.5,dws,0.1893088,336.842
